

  1r          |                       |    |    |    |(I )(I )      |     
149:  #       |                       |    |addi|    |(RD)(I )      |     
150:  00000278|                       |    |    |addi|(W )(I )      |     
151:  #       |addi   x30, x00, 0x000 |    |    |    |(I )(I )      |     
152:  #       |                       |addi|    |    |(TC)(I )      |     
153:  #       |                       |    |addi|    |(RD)(I )      |     
154:  0000027c|                       |    |    |addi|(W )(I )      |     
155:  #       |addi   x31, x00, 0x000 |    |    |    |(I )(I )      |     
156:  #       |                       |addi|    |    |(TC)(I )      |     
157:  #       |                       |    |addi|    |(RR)(I ) rd>  |     
158:  #       |                       |    |    |addi|(RW)(I )   >rd|     
159:  #       |                       |    |    |    |(RU)(I )      |     
160:  #       |                       |    |    |    |(RD)(I )      |     
161:  00000280|                       |    |    |    |(W )(I )      |     
162:  #       |lui    x02, 0x000ff    |    |    |    |(I )(I )      |     
163:  #       |                       |lui |    |    |(TC)(I )      |     
164:  #       |                       |    |lui |    |(RD)(I )      |     
165:  00000284|                       |    |    |lui |(W )(I )      |     
166:  #       |lui    x05, 0x00004    |    |    |    |(I )(I )      |     
167:  #       |                       |lui |    |    |(TC)(I )      |     
168:  #       |                       |    |lui |    |(RD)(I )      |     
169:  00000288|                       |    |    |lui |(W )(I )      |     
170:  #       |csrr   x06, coreid     |    |    |    |(I )(I )      |     
171:  #       |                       |csrr|    |    |(TC)(I )      |     
172:  #       |                       |    |csrr|    |(RD)(I )      |     
173:  0000028c|                       |    |    |csrr|(W )(I )      |     
174:  #       |mul    x07, x05, x06   |    |    |    |(I )(I )      |     
175:  #       |                       |#   |    |    |(TC)(I )      |     
176:  #       |                       |mul |    |    |(RR)(I ) rd>  |     
177:  #       |                       |    |mul |    |(RW)(I )   >rd|     
178:  #       |                       |    |    |mul |(RU)(I )      |     
179:  #       |                       |    |    |    |(RD)(I )      |     
180:  00000290|                       |    |    |    |(W )(I )      |     
181:  #       |sub    x02, x02, x07   |    |    |    |(I )(I )      |     
182:  #       |                       |sub |    |    |(TC)(I )      |     
183:  #       |                       |    |sub |    |(RD)(I )      |     
184:  00000294|                       |    |    |sub |(W )(I )      |     
185:  #       |csrr   x05, numcores   |    |    |    |(I )(I )      |     
186:  #       |                       |csrr|    |    |(TC)(I )      |     
187:  #       |                       |    |csrr|    |(RD)(I )      |     
188:  00000298|                       |    |    |csrr|(W )(I )      |     
189:  #       |addi   x06, x00, 0x001 |    |    |    |(I )(I )      |     
190:  #       |                       |addi|    |    |(TC)(I )      |     
191:  #       |                       |    |addi|    |(RD)(I )      |     
192:  0000029c|                       |    |    |addi|(W )(I )      |     
193:  #       |beq    x05, x06, 0x0008|    |    |    |(I )(I )      |     
194:  /       |                       |beq |    |    |(TC)(I )      |     
195:  #       |                       |    |beq |    |(RR)(I ) rd>  |     
196:  #       |                       |    |    |beq |(RW)(I )   >rd|     
197:  #       |                       |    |    |    |(RU)(I )      |     
198:  #       |                       |    |    |    |(RD)(I )      |     
199:  #       |                       |    |    |    |(W )(I )      |     
200:  #       |                       |    |    |    |(I )(I )      |     
201:  #       |                       |    |    |    |(TC)(I )      |     
202:  #       |                       |    |    |    |(RD)(I )      |     
203:  000002a4|                       |    |    |    |(W )(I )      |     
204:  #       |auipc  x05, 0x00001    |    |    |    |(I )(I )      |     
205:  #       |                       |auiP|    |    |(TC)(I )      |     
206:  #       |                       |    |auiP|    |(RD)(I )      |     
207:  000002a8|                       |    |    |auiP|(W )(I )      |     
208:  #       |addi   x05, x05, 0xcdc |    |    |    |(I )(I )      |     
