

  1r          |                       |    |    |    |(I )(I )      |     
5782:  #       |                       |addi|    |    |(TC)(I )      |     
5783:  #       |                       |    |addi|    |(RD)(I )      |     
5784:  00000764|                       |    |    |addi|(W )(I )      |     
5785:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
5786:  /       |                       |beq |    |    |(TC)(I )      |     
5787:  #       |                       |    |beq |    |(RD)(I )      |     
5788:  #       |                       |    |    |beq |(W )(I )      |     
5789:  #       |                       |    |    |    |(I )(I )      |     
5790:  #       |                       |    |    |    |(TC)(I )      |     
5791:  #       |                       |    |    |    |(RD)(I )      |     
5792:  000007cc|                       |    |    |    |(W )(I )      |     
5793:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
5794:  #       |                       |addi|    |    |(TC)(I )      |     
5795:  #       |                       |    |addi|    |(RD)(I )      |     
5796:  000007d0|                       |    |    |addi|(W )(I )      |     
5797:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
5798:  #       |                       |addi|    |    |(TC)(I )      |     
5799:  #       |                       |    |addi|    |(RD)(I )      |     
5800:  000007d4|                       |    |    |addi|(W )(I )      |     
5801:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
5802:  #       |                       |addi|    |    |(TC)(I )      |     
5803:  #       |                       |    |addi|    |(RD)(I )      |     
5804:  000007d8|                       |    |    |addi|(W )(I )      |     
5805:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
5806:  /       |                       |blt |    |    |(TC)(I )      |     
5807:  #       |                       |    |blt |    |(RD)(I )      |     
5808:  #       |                       |    |    |blt |(W )(I )      |     
5809:  #       |                       |    |    |    |(I )(I )      |     
5810:  #       |                       |    |    |    |(TC)(I )      |     
5811:  #       |                       |    |    |    |(RD)(I )      |     
5812:  00000750|                       |    |    |    |(W )(I )      |     
5813:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
5814:  #       |                       |lw  |    |    |(TC)(I )      |     
5815:  #       |                       |    |#   |    |(RD)(TC)      |     
5816:  #       |                       |    |#   |    |(W )(RD)      |     
5817:  00000754|                       |    |lw  |    |(W )(W )      |     
5818:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
5819:  #       |                       |lw  |    |    |(TC)(I )      |     
5820:  #       |                       |    |#   |    |(RD)(TC)      |     
5821:  #       |                       |    |#   |    |(W )(RD)      |     
5822:  00000758|                       |    |lw  |    |(W )(W )      |     
5823:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
5824:  #       |                       |addi|    |    |(TC)(I )      |     
5825:  #       |                       |    |addi|    |(RD)(I )      |     
5826:  0000075c|                       |    |    |addi|(W )(I )      |     
5827:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
5828:  #       |                       |addi|    |    |(TC)(I )      |     
5829:  #       |                       |    |addi|    |(RD)(I )      |     
5830:  00000760|                       |    |    |addi|(W )(I )      |     
5831:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
5832:  #       |                       |addi|    |    |(TC)(I )      |     
5833:  #       |                       |    |addi|    |(RD)(I )      |     
5834:  00000764|                       |    |    |addi|(W )(I )      |     
5835:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
5836:  /       |                       |beq |    |    |(TC)(I )      |     
5837:  #       |                       |    |beq |    |(RD)(I )      |     
5838:  #       |                       |    |    |beq |(W )(I )      |     
5839:  #       |                       |    |    |    |(I )(I )      |     
5840:  #       |                       |    |    |    |(TC)(I )      |     
5841:  #       |                       |    |    |    |(RD)(I )      |     
5842:  000007cc|                       |    |    |    |(W )(I )      |     
5843:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
5844:  #       |                       |addi|    |    |(TC)(I )      |     
5845:  #       |                       |    |addi|    |(RD)(I )      |     
5846:  000007d0|                       |    |    |addi|(W )(I )      |     
5847:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
5848:  #       |                       |addi|    |    |(TC)(I )      |     
5849:  #       |                       |    |addi|    |(RD)(I )      |     
5850:  000007d4|                       |    |    |addi|(W )(I )      |     
5851:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
5852:  #       |                       |addi|    |    |(TC)(I )      |     
5853:  #       |                       |    |addi|    |(RD)(I )      |     
5854:  000007d8|                       |    |    |addi|(W )(I )      |     
5855:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
5856:  /       |                       |blt |    |    |(TC)(I )      |     
5857:  #       |                       |    |blt |    |(RD)(I )      |     
5858:  #       |                       |    |    |blt |(W )(I )      |     
5859:  #       |                       |    |    |    |(I )(I )      |     
5860:  #       |                       |    |    |    |(TC)(I )      |     
5861:  #       |                       |    |    |    |(RD)(I )      |     
5862:  00000750|                       |    |    |    |(W )(I )      |     
5863:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
5864:  #       |                       |lw  |    |    |(TC)(I )      |     
5865:  #       |                       |    |#   |    |(RD)(TC)      |     
5866:  #       |                       |    |#   |    |(W )(RD)      |     
5867:  00000754|                       |    |lw  |    |(W )(W )      |     
5868:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
5869:  #       |                       |lw  |    |    |(TC)(I )      |     
5870:  #       |                       |    |#   |    |(RD)(TC)      |     
5871:  #       |                       |    |#   |    |(W )(RD)      |     
5872:  00000758|                       |    |lw  |    |(W )(W )      |     
5873:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
5874:  #       |                       |addi|    |    |(TC)(I )      |     
5875:  #       |                       |    |addi|    |(RD)(I )      |     
5876:  0000075c|                       |    |    |addi|(W )(I )      |     
5877:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
5878:  #       |                       |addi|    |    |(TC)(I )      |     
5879:  #       |                       |    |addi|    |(RD)(I )      |     
5880:  00000760|                       |    |    |addi|(W )(I )      |     
5881:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
5882:  #       |                       |addi|    |    |(TC)(I )      |     
5883:  #       |                       |    |addi|    |(RD)(I )      |     
5884:  00000764|                       |    |    |addi|(W )(I )      |     
5885:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
5886:  /       |                       |beq |    |    |(TC)(I )      |     
5887:  #       |                       |    |beq |    |(RD)(I )      |     
5888:  #       |                       |    |    |beq |(W )(I )      |     
5889:  #       |                       |    |    |    |(I )(I )      |     
5890:  #       |                       |    |    |    |(TC)(I )      |     
5891:  #       |                       |    |    |    |(RD)(I )      |     
5892:  000007cc|                       |    |    |    |(W )(I )      |     
5893:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
5894:  #       |                       |addi|    |    |(TC)(I )      |     
5895:  #       |                       |    |addi|    |(RD)(I )      |     
5896:  000007d0|                       |    |    |addi|(W )(I )      |     
5897:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
5898:  #       |                       |addi|    |    |(TC)(I )      |     
5899:  #       |                       |    |addi|    |(RD)(I )      |     
5900:  000007d4|                       |    |    |addi|(W )(I )      |     
5901:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
5902:  #       |                       |addi|    |    |(TC)(I )      |     
5903:  #       |                       |    |addi|    |(RD)(I )      |     
5904:  000007d8|                       |    |    |addi|(W )(I )      |     
5905:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
5906:  /       |                       |blt |    |    |(TC)(I )      |     
5907:  #       |                       |    |blt |    |(RD)(I )      |     
5908:  #       |                       |    |    |blt |(W )(I )      |     
5909:  #       |                       |    |    |    |(I )(I )      |     
5910:  #       |                       |    |    |    |(TC)(I )      |     
5911:  #       |                       |    |    |    |(RD)(I )      |     
5912:  00000750|                       |    |    |    |(W )(I )      |     
5913:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
5914:  #       |                       |lw  |    |    |(TC)(I )      |     
5915:  #       |                       |    |#   |    |(RD)(TC)      |     
5916:  #       |                       |    |#   |    |(W )(RR)      |rd>  
5917:  #       |                       |    |#   |    |(W )(RW)      |  >rd
5918:  #       |                       |    |#   |    |(W )(RU)      |     
5919:  #       |                       |    |#   |    |(W )(RD)      |     
5920:  00000754|                       |    |lw  |    |(W )(W )      |     
5921:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
5922:  #       |                       |lw  |    |    |(TC)(I )      |     
5923:  #       |                       |    |#   |    |(RD)(TC)      |     
5924:  #       |                       |    |#   |    |(W )(RD)      |     
5925:  00000758|                       |    |lw  |    |(W )(W )      |     
5926:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
5927:  #       |                       |addi|    |    |(TC)(I )      |     
5928:  #       |                       |    |addi|    |(RD)(I )      |     
5929:  0000075c|                       |    |    |addi|(W )(I )      |     
5930:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
5931:  #       |                       |addi|    |    |(TC)(I )      |     
5932:  #       |                       |    |addi|    |(RD)(I )      |     
5933:  00000760|                       |    |    |addi|(W )(I )      |     
5934:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
5935:  #       |                       |addi|    |    |(TC)(I )      |     
5936:  #       |                       |    |addi|    |(RD)(I )      |     
5937:  00000764|                       |    |    |addi|(W )(I )      |     
5938:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
5939:  /       |                       |beq |    |    |(TC)(I )      |     
5940:  #       |                       |    |beq |    |(RD)(I )      |     
5941:  #       |                       |    |    |beq |(W )(I )      |     
5942:  #       |                       |    |    |    |(I )(I )      |     
5943:  #       |                       |    |    |    |(TC)(I )      |     
5944:  #       |                       |    |    |    |(RD)(I )      |     
5945:  000007cc|                       |    |    |    |(W )(I )      |     
5946:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
5947:  #       |                       |addi|    |    |(TC)(I )      |     
5948:  #       |                       |    |addi|    |(RD)(I )      |     
5949:  000007d0|                       |    |    |addi|(W )(I )      |     
5950:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
5951:  #       |                       |addi|    |    |(TC)(I )      |     
5952:  #       |                       |    |addi|    |(RD)(I )      |     
5953:  000007d4|                       |    |    |addi|(W )(I )      |     
5954:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
5955:  #       |                       |addi|    |    |(TC)(I )      |     
5956:  #       |                       |    |addi|    |(RD)(I )      |     
5957:  000007d8|                       |    |    |addi|(W )(I )      |     
5958:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
5959:  /       |                       |blt |    |    |(TC)(I )      |     
5960:  #       |                       |    |blt |    |(RD)(I )      |     
5961:  #       |                       |    |    |blt |(W )(I )      |     
5962:  #       |                       |    |    |    |(I )(I )      |     
5963:  #       |                       |    |    |    |(TC)(I )      |     
5964:  #       |                       |    |    |    |(RD)(I )      |     
5965:  00000750|                       |    |    |    |(W )(I )      |     
5966:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
5967:  #       |                       |lw  |    |    |(TC)(I )      |     
5968:  #       |                       |    |#   |    |(RD)(TC)      |     
5969:  #       |                       |    |#   |    |(W )(RD)      |     
5970:  00000754|                       |    |lw  |    |(W )(W )      |     
5971:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
5972:  #       |                       |lw  |    |    |(TC)(I )      |     
5973:  #       |                       |    |#   |    |(RD)(TC)      |     
5974:  #       |                       |    |#   |    |(W )(EP)      |     
5975:  #       |                       |    |#   |    |(W )(ER)      |wr>  
5976:  #       |                       |    |#   |    |(W )(EW)      |  >wr
5977:  #       |                       |    |#   |    |(W )(RR)      |rd>  
5978:  #       |                       |    |#   |    |(W )(RW)      |  >rd
5979:  #       |                       |    |#   |    |(W )(RU)      |     
5980:  #       |                       |    |#   |    |(W )(RD)      |     
5981:  00000758|                       |    |lw  |    |(W )(W )      |     
5982:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
5983:  #       |                       |addi|    |    |(TC)(I )      |     
5984:  #       |                       |    |addi|    |(RD)(I )      |     
5985:  0000075c|                       |    |    |addi|(W )(I )      |     
5986:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
5987:  #       |                       |addi|    |    |(TC)(I )      |     
5988:  #       |                       |    |addi|    |(RD)(I )      |     
5989:  00000760|                       |    |    |addi|(W )(I )      |     
5990:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
5991:  #       |                       |addi|    |    |(TC)(I )      |     
5992:  #       |                       |    |addi|    |(RD)(I )      |     
5993:  00000764|                       |    |    |addi|(W )(I )      |     
5994:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
5995:  /       |                       |beq |    |    |(TC)(I )      |     
5996:  #       |                       |    |beq |    |(RD)(I )      |     
5997:  #       |                       |    |    |beq |(W )(I )      |     
5998:  #       |                       |    |    |    |(I )(I )      |     
5999:  #       |                       |    |    |    |(TC)(I )      |     
6000:  #       |                       |    |    |    |(RD)(I )      |     
6001:  000007cc|                       |    |    |    |(W )(I )      |     
6002:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6003:  #       |                       |addi|    |    |(TC)(I )      |     
6004:  #       |                       |    |addi|    |(RD)(I )      |     
6005:  000007d0|                       |    |    |addi|(W )(I )      |     
6006:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6007:  #       |                       |addi|    |    |(TC)(I )      |     
6008:  #       |                       |    |addi|    |(RD)(I )      |     
6009:  000007d4|                       |    |    |addi|(W )(I )      |     
6010:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6011:  #       |                       |addi|    |    |(TC)(I )      |     
6012:  #       |                       |    |addi|    |(RD)(I )      |     
6013:  000007d8|                       |    |    |addi|(W )(I )      |     
6014:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6015:  /       |                       |blt |    |    |(TC)(I )      |     
6016:  #       |                       |    |blt |    |(RD)(I )      |     
6017:  #       |                       |    |    |blt |(W )(I )      |     
6018:  #       |                       |    |    |    |(I )(I )      |     
6019:  #       |                       |    |    |    |(TC)(I )      |     
6020:  #       |                       |    |    |    |(RD)(I )      |     
6021:  00000750|                       |    |    |    |(W )(I )      |     
6022:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6023:  #       |                       |lw  |    |    |(TC)(I )      |     
6024:  #       |                       |    |#   |    |(RD)(TC)      |     
6025:  #       |                       |    |#   |    |(W )(RD)      |     
6026:  00000754|                       |    |lw  |    |(W )(W )      |     
6027:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6028:  #       |                       |lw  |    |    |(TC)(I )      |     
6029:  #       |                       |    |#   |    |(RD)(TC)      |     
6030:  #       |                       |    |#   |    |(W )(RD)      |     
6031:  00000758|                       |    |lw  |    |(W )(W )      |     
6032:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6033:  #       |                       |addi|    |    |(TC)(I )      |     
6034:  #       |                       |    |addi|    |(RD)(I )      |     
6035:  0000075c|                       |    |    |addi|(W )(I )      |     
6036:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6037:  #       |                       |addi|    |    |(TC)(I )      |     
6038:  #       |                       |    |addi|    |(RD)(I )      |     
6039:  00000760|                       |    |    |addi|(W )(I )      |     
6040:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6041:  #       |                       |addi|    |    |(TC)(I )      |     
6042:  #       |                       |    |addi|    |(RD)(I )      |     
6043:  00000764|                       |    |    |addi|(W )(I )      |     
6044:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6045:  /       |                       |beq |    |    |(TC)(I )      |     
6046:  #       |                       |    |beq |    |(RD)(I )      |     
6047:  #       |                       |    |    |beq |(W )(I )      |     
6048:  #       |                       |    |    |    |(I )(I )      |     
6049:  #       |                       |    |    |    |(TC)(I )      |     
6050:  #       |                       |    |    |    |(RD)(I )      |     
6051:  000007cc|                       |    |    |    |(W )(I )      |     
6052:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6053:  #       |                       |addi|    |    |(TC)(I )      |     
6054:  #       |                       |    |addi|    |(RD)(I )      |     
6055:  000007d0|                       |    |    |addi|(W )(I )      |     
6056:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6057:  #       |                       |addi|    |    |(TC)(I )      |     
6058:  #       |                       |    |addi|    |(RD)(I )      |     
6059:  000007d4|                       |    |    |addi|(W )(I )      |     
6060:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6061:  #       |                       |addi|    |    |(TC)(I )      |     
6062:  #       |                       |    |addi|    |(RD)(I )      |     
6063:  000007d8|                       |    |    |addi|(W )(I )      |     
6064:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6065:  /       |                       |blt |    |    |(TC)(I )      |     
6066:  #       |                       |    |blt |    |(RD)(I )      |     
6067:  #       |                       |    |    |blt |(W )(I )      |     
6068:  #       |                       |    |    |    |(I )(I )      |     
6069:  #       |                       |    |    |    |(TC)(I )      |     
6070:  #       |                       |    |    |    |(RD)(I )      |     
6071:  00000750|                       |    |    |    |(W )(I )      |     
6072:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6073:  #       |                       |lw  |    |    |(TC)(I )      |     
6074:  #       |                       |    |#   |    |(RD)(TC)      |     
6075:  #       |                       |    |#   |    |(W )(RD)      |     
6076:  00000754|                       |    |lw  |    |(W )(W )      |     
6077:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6078:  #       |                       |lw  |    |    |(TC)(I )      |     
6079:  #       |                       |    |#   |    |(RD)(TC)      |     
6080:  #       |                       |    |#   |    |(W )(RD)      |     
6081:  00000758|                       |    |lw  |    |(W )(W )      |     
6082:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6083:  #       |                       |addi|    |    |(TC)(I )      |     
6084:  #       |                       |    |addi|    |(RD)(I )      |     
6085:  0000075c|                       |    |    |addi|(W )(I )      |     
6086:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6087:  #       |                       |addi|    |    |(TC)(I )      |     
6088:  #       |                       |    |addi|    |(RD)(I )      |     
6089:  00000760|                       |    |    |addi|(W )(I )      |     
6090:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6091:  #       |                       |addi|    |    |(TC)(I )      |     
6092:  #       |                       |    |addi|    |(RD)(I )      |     
6093:  00000764|                       |    |    |addi|(W )(I )      |     
6094:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6095:  /       |                       |beq |    |    |(TC)(I )      |     
6096:  #       |                       |    |beq |    |(RD)(I )      |     
6097:  #       |                       |    |    |beq |(W )(I )      |     
6098:  #       |                       |    |    |    |(I )(I )      |     
6099:  #       |                       |    |    |    |(TC)(I )      |     
6100:  #       |                       |    |    |    |(RD)(I )      |     
6101:  000007cc|                       |    |    |    |(W )(I )      |     
6102:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6103:  #       |                       |addi|    |    |(TC)(I )      |     
6104:  #       |                       |    |addi|    |(RD)(I )      |     
6105:  000007d0|                       |    |    |addi|(W )(I )      |     
6106:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6107:  #       |                       |addi|    |    |(TC)(I )      |     
6108:  #       |                       |    |addi|    |(RD)(I )      |     
6109:  000007d4|                       |    |    |addi|(W )(I )      |     
6110:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6111:  #       |                       |addi|    |    |(TC)(I )      |     
6112:  #       |                       |    |addi|    |(RD)(I )      |     
6113:  000007d8|                       |    |    |addi|(W )(I )      |     
6114:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6115:  /       |                       |blt |    |    |(TC)(I )      |     
6116:  #       |                       |    |blt |    |(RD)(I )      |     
6117:  #       |                       |    |    |blt |(W )(I )      |     
6118:  #       |                       |    |    |    |(I )(I )      |     
6119:  #       |                       |    |    |    |(TC)(I )      |     
6120:  #       |                       |    |    |    |(RD)(I )      |     
6121:  00000750|                       |    |    |    |(W )(I )      |     
6122:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6123:  #       |                       |lw  |    |    |(TC)(I )      |     
6124:  #       |                       |    |#   |    |(RD)(TC)      |     
6125:  #       |                       |    |#   |    |(W )(RR)      |rd>  
6126:  #       |                       |    |#   |    |(W )(RW)      |  >rd
6127:  #       |                       |    |#   |    |(W )(RU)      |     
6128:  #       |                       |    |#   |    |(W )(RD)      |     
6129:  00000754|                       |    |lw  |    |(W )(W )      |     
6130:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6131:  #       |                       |lw  |    |    |(TC)(I )      |     
6132:  #       |                       |    |#   |    |(RD)(TC)      |     
6133:  #       |                       |    |#   |    |(W )(RD)      |     
6134:  00000758|                       |    |lw  |    |(W )(W )      |     
6135:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6136:  #       |                       |addi|    |    |(TC)(I )      |     
6137:  #       |                       |    |addi|    |(RD)(I )      |     
6138:  0000075c|                       |    |    |addi|(W )(I )      |     
6139:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6140:  #       |                       |addi|    |    |(TC)(I )      |     
6141:  #       |                       |    |addi|    |(RD)(I )      |     
6142:  00000760|                       |    |    |addi|(W )(I )      |     
6143:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6144:  #       |                       |addi|    |    |(TC)(I )      |     
6145:  #       |                       |    |addi|    |(RD)(I )      |     
6146:  00000764|                       |    |    |addi|(W )(I )      |     
6147:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6148:  /       |                       |beq |    |    |(TC)(I )      |     
6149:  #       |                       |    |beq |    |(RD)(I )      |     
6150:  #       |                       |    |    |beq |(W )(I )      |     
6151:  #       |                       |    |    |    |(I )(I )      |     
6152:  #       |                       |    |    |    |(TC)(I )      |     
6153:  #       |                       |    |    |    |(RD)(I )      |     
6154:  000007cc|                       |    |    |    |(W )(I )      |     
6155:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6156:  #       |                       |addi|    |    |(TC)(I )      |     
6157:  #       |                       |    |addi|    |(RD)(I )      |     
6158:  000007d0|                       |    |    |addi|(W )(I )      |     
6159:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6160:  #       |                       |addi|    |    |(TC)(I )      |     
6161:  #       |                       |    |addi|    |(RD)(I )      |     
6162:  000007d4|                       |    |    |addi|(W )(I )      |     
6163:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6164:  #       |                       |addi|    |    |(TC)(I )      |     
6165:  #       |                       |    |addi|    |(RD)(I )      |     
6166:  000007d8|                       |    |    |addi|(W )(I )      |     
6167:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6168:  /       |                       |blt |    |    |(TC)(I )      |     
6169:  #       |                       |    |blt |    |(RD)(I )      |     
6170:  #       |                       |    |    |blt |(W )(I )      |     
6171:  #       |                       |    |    |    |(I )(I )      |     
6172:  #       |                       |    |    |    |(TC)(I )      |     
6173:  #       |                       |    |    |    |(RD)(I )      |     
6174:  00000750|                       |    |    |    |(W )(I )      |     
6175:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6176:  #       |                       |lw  |    |    |(TC)(I )      |     
6177:  #       |                       |    |#   |    |(RD)(TC)      |     
6178:  #       |                       |    |#   |    |(W )(RD)      |     
6179:  00000754|                       |    |lw  |    |(W )(W )      |     
6180:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6181:  #       |                       |lw  |    |    |(TC)(I )      |     
6182:  #       |                       |    |#   |    |(RD)(TC)      |     
6183:  #       |                       |    |#   |    |(W )(EP)      |     
6184:  #       |                       |    |#   |    |(W )(ER)      |wr>  
6185:  #       |                       |    |#   |    |(W )(EW)      |  >wr
6186:  #       |                       |    |#   |    |(W )(RR)      |rd>  
6187:  #       |                       |    |#   |    |(W )(RW)      |  >rd
6188:  #       |                       |    |#   |    |(W )(RU)      |     
6189:  #       |                       |    |#   |    |(W )(RD)      |     
6190:  00000758|                       |    |lw  |    |(W )(W )      |     
6191:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6192:  #       |                       |addi|    |    |(TC)(I )      |     
6193:  #       |                       |    |addi|    |(RD)(I )      |     
6194:  0000075c|                       |    |    |addi|(W )(I )      |     
6195:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
6196:  #       |                       |addi|    |    |(TC)(I )      |     
6197:  #       |                       |    |addi|    |(RD)(I )      |     
6198:  00000760|                       |    |    |addi|(W )(I )      |     
6199:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
6200:  #       |                       |addi|    |    |(TC)(I )      |     
6201:  #       |                       |    |addi|    |(RD)(I )      |     
6202:  00000764|                       |    |    |addi|(W )(I )      |     
6203:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
6204:  /       |                       |beq |    |    |(TC)(I )      |     
6205:  #       |                       |    |beq |    |(RD)(I )      |     
6206:  #       |                       |    |    |beq |(W )(I )      |     
6207:  #       |                       |    |    |    |(I )(I )      |     
6208:  #       |                       |    |    |    |(TC)(I )      |     
6209:  #       |                       |    |    |    |(RD)(I )      |     
6210:  000007cc|                       |    |    |    |(W )(I )      |     
6211:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
6212:  #       |                       |addi|    |    |(TC)(I )      |     
6213:  #       |                       |    |addi|    |(RD)(I )      |     
6214:  000007d0|                       |    |    |addi|(W )(I )      |     
6215:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
6216:  #       |                       |addi|    |    |(TC)(I )      |     
6217:  #       |                       |    |addi|    |(RD)(I )      |     
6218:  000007d4|                       |    |    |addi|(W )(I )      |     
6219:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
6220:  #       |                       |addi|    |    |(TC)(I )      |     
6221:  #       |                       |    |addi|    |(RD)(I )      |     
6222:  000007d8|                       |    |    |addi|(W )(I )      |     
6223:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
6224:  /       |                       |blt |    |    |(TC)(I )      |     
6225:  #       |                       |    |blt |    |(RD)(I )      |     
6226:  #       |                       |    |    |blt |(W )(I )      |     
6227:  #       |                       |    |    |    |(I )(I )      |     
6228:  #       |                       |    |    |    |(TC)(I )      |     
6229:  #       |                       |    |    |    |(RD)(I )      |     
6230:  00000750|                       |    |    |    |(W )(I )      |     
6231:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
6232:  #       |                       |lw  |    |    |(TC)(I )      |     
6233:  #       |                       |    |#   |    |(RD)(TC)      |     
6234:  #       |                       |    |#   |    |(W )(RD)      |     
6235:  00000754|                       |    |lw  |    |(W )(W )      |     
6236:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
6237:  #       |                       |lw  |    |    |(TC)(I )      |     
6238:  #       |                       |    |#   |    |(RD)(TC)      |     
6239:  #       |                       |    |#   |    |(W )(RD)      |     
6240:  00000758|                       |    |lw  |    |(W )(W )      |     
6241:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
6242:  #       |                       |addi|    |    |(TC)(I )      |     
6243:  #       |                       |    |addi|    |(RD)(I )      |     
6244:  0000075c|                       |    |    |addi|(W )(I )      |     
6245:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
